x,y,vx,vy,Paddle.y
490,390,15,-15,424
505,375,15,-15,424
520,360,15,-15,424
535,345,15,-15,423
550,330,15,-15,423
565,315,15,-15,422
580,300,15,-15,420
595,285,15,-15,419
610,270,15,-15,417
625,255,15,-15,415
640,240,15,-15,407
655,225,15,-15,402
670,210,15,-15,395
685,195,15,-15,387
700,180,15,-15,380
715,165,15,-15,375
730,150,15,-15,370
745,135,15,-15,360
760,120,15,-15,350
775,105,15,-15,340
790,90,15,-15,336
805,75,15,-15,325
820,60,15,-15,321
835,45,15,-15,318
835,45,15,15,318
850,60,15,15,317
865,75,15,15,317
880,90,15,15,317
895,105,15,15,317
910,120,15,15,317
925,135,15,15,317
940,150,15,15,319
955,165,15,15,319
970,180,15,15,322
985,195,15,15,325
1000,210,15,15,329
1015,225,15,15,336
1030,240,15,15,344
1045,255,15,15,353
1060,270,15,15,360
1075,285,15,15,365
1090,300,15,15,368
1105,315,15,15,372
1120,330,15,15,379
1135,345,15,15,384
1150,360,15,15,388
1150,360,-15,15,392
1135,375,-15,15,397
1120,390,-15,15,403
1105,405,-15,15,406
1090,420,-15,15,409
1075,435,-15,15,411
1060,450,-15,15,412
1045,465,-15,15,415
1030,480,-15,15,417
1015,495,-15,15,419
1000,510,-15,15,421
985,525,-15,15,423
970,540,-15,15,427
955,555,-15,15,431
955,555,-15,-15,435
940,540,-15,-15,437
925,525,-15,-15,439
910,510,-15,-15,441
895,495,-15,-15,444
880,480,-15,-15,444
865,465,-15,-15,445
850,450,-15,-15,446
835,435,-15,-15,450
820,420,-15,-15,454
805,405,-15,-15,456
790,390,-15,-15,458
775,375,-15,-15,460
760,360,-15,-15,461
745,345,-15,-15,461
730,330,-15,-15,462
715,315,-15,-15,462
700,300,-15,-15,462
685,285,-15,-15,462
670,270,-15,-15,462
655,255,-15,-15,462
640,240,-15,-15,462
625,225,-15,-15,462
610,210,-15,-15,462
595,195,-15,-15,462
580,180,-15,-15,462
565,165,-15,-15,462
550,150,-15,-15,462
535,135,-15,-15,462
520,120,-15,-15,462
505,105,-15,-15,462
490,90,-15,-15,462
475,75,-15,-15,462
460,60,-15,-15,462
445,45,-15,-15,462
445,45,-15,15,462
430,60,-15,15,462
415,75,-15,15,462
400,90,-15,15,462
385,105,-15,15,462
370,120,-15,15,462
355,135,-15,15,462
340,150,-15,15,461
325,165,-15,15,459
310,180,-15,15,456
295,195,-15,15,452
280,210,-15,15,445
265,225,-15,15,438
250,240,-15,15,432
235,255,-15,15,421
220,270,-15,15,408
205,285,-15,15,396
190,300,-15,15,387
175,315,-15,15,378
160,330,-15,15,370
145,345,-15,15,367
130,360,-15,15,365
115,375,-15,15,364
100,390,-15,15,364
85,405,-15,15,364
70,420,-15,15,364
55,435,-15,15,364
40,450,-15,15,364
40,450,15,15,364
55,465,15,15,364
70,480,15,15,362
85,495,15,15,361
100,510,15,15,359
115,525,15,15,358
130,540,15,15,357
145,555,15,15,357
145,555,15,-15,356
160,540,15,-15,354
175,525,15,-15,353
190,510,15,-15,350
205,495,15,-15,345
220,480,15,-15,336
235,465,15,-15,331
250,450,15,-15,326
265,435,15,-15,325
280,420,15,-15,322
295,405,15,-15,319
310,390,15,-15,313
325,375,15,-15,310
340,360,15,-15,305
355,345,15,-15,301
370,330,15,-15,298
385,315,15,-15,294
400,300,15,-15,292
415,285,15,-15,289
430,270,15,-15,287
445,255,15,-15,284
460,240,15,-15,279
475,225,15,-15,275
490,210,15,-15,273
505,195,15,-15,270
520,180,15,-15,268
535,165,15,-15,265
550,150,15,-15,264
565,135,15,-15,263
580,120,15,-15,262
595,105,15,-15,260
610,90,15,-15,260
625,75,15,-15,260
640,60,15,-15,260
655,45,15,-15,262
655,45,15,15,269
670,60,15,15,279
685,75,15,15,290
700,90,15,15,295
715,105,15,15,300
730,120,15,15,306
745,135,15,15,312
760,150,15,15,320
775,165,15,15,333
790,180,15,15,350
805,195,15,15,360
820,210,15,15,368
835,225,15,15,375
850,240,15,15,382
865,255,15,15,391
880,270,15,15,401
895,285,15,15,413
910,300,15,15,421
925,315,15,15,433
940,330,15,15,438
955,345,15,15,444
970,360,15,15,447
985,375,15,15,453
1000,390,15,15,458
1015,405,15,15,463
1030,420,15,15,469
1045,435,15,15,476
1060,450,15,15,486
1075,465,15,15,493
1090,480,15,15,497
1105,495,15,15,503
1120,510,15,15,508
1135,525,15,15,514
1150,540,15,15,522
1150,540,-15,15,526
1135,555,-15,15,529
1135,555,-15,-15,529
1120,540,-15,-15,529
1105,525,-15,-15,529
1090,510,-15,-15,529
1075,495,-15,-15,529
1060,480,-15,-15,527
1045,465,-15,-15,523
1030,450,-15,-15,519
1015,435,-15,-15,511
1000,420,-15,-15,501
985,405,-15,-15,490
970,390,-15,-15,484
955,375,-15,-15,476
940,360,-15,-15,471
925,345,-15,-15,463
910,330,-15,-15,458
895,315,-15,-15,455
880,300,-15,-15,451
865,285,-15,-15,446
850,270,-15,-15,443
835,255,-15,-15,440
820,240,-15,-15,433
805,225,-15,-15,423
790,210,-15,-15,415
775,195,-15,-15,411
760,180,-15,-15,408
745,165,-15,-15,406
730,150,-15,-15,405
715,135,-15,-15,404
700,120,-15,-15,403
685,105,-15,-15,402
670,90,-15,-15,400
655,75,-15,-15,399
640,60,-15,-15,397
625,45,-15,-15,396
625,45,-15,15,396
610,60,-15,15,396
595,75,-15,15,396
580,90,-15,15,396
565,105,-15,15,396
550,120,-15,15,396
535,135,-15,15,396
520,150,-15,15,395
505,165,-15,15,394
490,180,-15,15,393
475,195,-15,15,392
460,210,-15,15,391
445,225,-15,15,391
430,240,-15,15,390
415,255,-15,15,389
400,270,-15,15,388
385,285,-15,15,388
370,300,-15,15,387
355,315,-15,15,387
340,330,-15,15,387
325,345,-15,15,387
310,360,-15,15,387
295,375,-15,15,387
280,390,-15,15,387
265,405,-15,15,387
250,420,-15,15,387
235,435,-15,15,387
220,450,-15,15,387
205,465,-15,15,387
190,480,-15,15,387
175,495,-15,15,387
160,510,-15,15,387
145,525,-15,15,387
130,540,-15,15,387
115,555,-15,15,387
115,555,-15,-15,387
100,540,-15,-15,387
85,525,-15,-15,387
70,510,-15,-15,387
55,495,-15,-15,387
40,480,-15,-15,387
40,480,15,-15,387
55,465,15,-15,387
70,450,15,-15,387
85,435,15,-15,387
100,420,15,-15,387
115,405,15,-15,387
130,390,15,-15,387
145,375,15,-15,387
160,360,15,-15,387
175,345,15,-15,387
190,330,15,-15,387
205,315,15,-15,387
220,300,15,-15,387
235,285,15,-15,387
250,270,15,-15,387
265,255,15,-15,387
280,240,15,-15,387
295,225,15,-15,387
310,210,15,-15,387
325,195,15,-15,387
340,180,15,-15,387
355,165,15,-15,387
370,150,15,-15,387
385,135,15,-15,387
400,120,15,-15,387
415,105,15,-15,387
430,90,15,-15,387
445,75,15,-15,387
460,60,15,-15,387
475,45,15,-15,388
475,45,15,15,391
490,60,15,15,394
505,75,15,15,395
520,90,15,15,398
535,105,15,15,401
550,120,15,15,403
565,135,15,15,405
580,150,15,15,407
595,165,15,15,412
610,180,15,15,416
625,195,15,15,422
640,210,15,15,426
655,225,15,15,432
670,240,15,15,435
685,255,15,15,440
700,270,15,15,445
715,285,15,15,448
730,300,15,15,449
745,315,15,15,450
760,330,15,15,450
775,345,15,15,450
790,360,15,15,450
805,375,15,15,450
820,390,15,15,449
835,405,15,15,449
850,420,15,15,449
865,435,15,15,449
880,450,15,15,449
895,465,15,15,449
910,480,15,15,449
925,495,15,15,449
940,510,15,15,448
955,525,15,15,447
970,540,15,15,446
985,555,15,15,445
985,555,15,-15,442
1000,540,15,-15,436
1015,525,15,-15,431
1030,510,15,-15,425
1045,495,15,-15,417
1060,480,15,-15,403
1075,465,15,-15,395
1090,450,15,-15,388
1105,435,15,-15,384
1120,420,15,-15,379
1135,405,15,-15,376
1150,390,15,-15,375
1150,390,-15,-15,373
1135,375,-15,-15,367
1120,360,-15,-15,358
1105,345,-15,-15,347
1090,330,-15,-15,344
1075,315,-15,-15,343
1060,300,-15,-15,343
1045,285,-15,-15,343
1030,270,-15,-15,343
1015,255,-15,-15,343
1000,240,-15,-15,343
985,225,-15,-15,343
970,210,-15,-15,344
955,195,-15,-15,347
940,180,-15,-15,350
925,165,-15,-15,353
910,150,-15,-15,354
895,135,-15,-15,355
880,120,-15,-15,356
865,105,-15,-15,361
850,90,-15,-15,367
835,75,-15,-15,374
820,60,-15,-15,378
805,45,-15,-15,381
805,45,-15,15,385
790,60,-15,15,391
775,75,-15,15,395
760,90,-15,15,402
745,105,-15,15,411
730,120,-15,15,419
715,135,-15,15,427
700,150,-15,15,433
6
1015,75,-15,-15,339
1000,60,-15,-15,334
985,45,-15,-15,333
985,45,-15,15,333
970,60,-15,15,333
955,75,-15,15,333
940,90,-15,15,333
925,105,-15,15,333
910,120,-15,15,337
895,135,-15,15,340
880,150,-15,15,349
865,165,-15,15,355
850,180,-15,15,367
835,195,-15,15,377
820,210,-15,15,382
805,225,-15,15,390
790,240,-15,15,399
775,255,-15,15,408
760,270,-15,15,413
745,285,-15,15,419
730,300,-15,15,422
715,315,-15,15,428
700,330,-15,15,431
685,345,-15,15,437
670,360,-15,15,444
655,375,-15,15,445
640,390,-15,15,445
625,405,-15,15,445
610,420,-15,15,445
595,435,-15,15,445
580,450,-15,15,445
565,465,-15,15,445
550,480,-15,15,445
535,495,-15,15,445
520,510,-15,15,445
505,525,-15,15,445
490,540,-15,15,445
475,555,-15,15,445
475,555,-15,-15,445
460,540,-15,-15,445
445,525,-15,-15,445
430,510,-15,-15,445
415,495,-15,-15,445
400,480,-15,-15,445
385,465,-15,-15,445
370,450,-15,-15,445
355,435,-15,-15,441
340,420,-15,-15,431
325,405,-15,-15,422
310,390,-15,-15,403
295,375,-15,-15,391
280,360,-15,-15,384
265,345,-15,-15,375
250,330,-15,-15,371
235,315,-15,-15,361
220,300,-15,-15,349
205,285,-15,-15,336
190,270,-15,-15,322
175,255,-15,-15,309
160,240,-15,-15,298
145,225,-15,-15,280
130,210,-15,-15,270
115,195,-15,-15,265
100,180,-15,-15,255
85,165,-15,-15,247
70,150,-15,-15,236
55,135,-15,-15,231
40,120,-15,-15,219
40,120,15,-15,215
55,105,15,-15,215
70,90,15,-15,215
85,75,15,-15,215
100,60,15,-15,215
115,45,15,-15,215
115,45,15,15,217
130,60,15,15,220
145,75,15,15,225
160,90,15,15,229
175,105,15,15,232
190,120,15,15,236
205,135,15,15,242
220,150,15,15,248
235,165,15,15,251
250,180,15,15,259
265,195,15,15,269
280,210,15,15,273
295,225,15,15,282
310,240,15,15,288
325,255,15,15,302
340,270,15,15,322
355,285,15,15,330
370,300,15,15,333
385,315,15,15,336
400,330,15,15,341
415,345,15,15,346
430,360,15,15,348
445,375,15,15,350
460,390,15,15,352
475,405,15,15,357
490,420,15,15,363
505,435,15,15,378
520,450,15,15,393
535,465,15,15,404
550,480,15,15,414
565,495,15,15,420
580,510,15,15,422
595,525,15,15,426
610,540,15,15,428
625,555,15,15,430
625,555,15,-15,430
640,540,15,-15,430
655,525,15,-15,430
670,510,15,-15,423
685,495,15,-15,413
700,480,15,-15,405
715,465,15,-15,385
730,450,15,-15,365
745,435,15,-15,354
760,420,15,-15,342
775,405,15,-15,332
790,390,15,-15,315
805,375,15,-15,305
820,360,15,-15,296
835,345,15,-15,289
850,330,15,-15,276
865,315,15,-15,263
880,300,15,-15,260
895,285,15,-15,260
910,270,15,-15,260
925,255,15,-15,260
940,240,15,-15,260
955,225,15,-15,258
970,210,15,-15,242
985,195,15,-15,224
1000,180,15,-15,208
1015,165,15,-15,171
1030,150,15,-15,147
1045,135,15,-15,118
1060,120,15,-15,105
1075,105,15,-15,104
1090,90,15,-15,102
1105,75,15,-15,95
1120,60,15,-15,95
1135,45,15,-15,95
1135,45,15,15,95
1150,60,15,15,95
1150,60,-15,15,95
1135,75,-15,15,95
1120,90,-15,15,95
1105,105,-15,15,95
1090,120,-15,15,95
1075,135,-15,15,95
1060,150,-15,15,95
1045,165,-15,15,95
,330,-15,15,352
685,345,-15,15,362
670,360,-15,15,373
655,375,-15,15,384
640,390,-15,15,397
625,405,-15,15,402
610,420,-15,15,406
595,435,-15,15,408
580,450,-15,15,415
565,465,-15,15,425
550,480,-15,15,430
535,495,-15,15,432
520,510,-15,15,432
505,525,-15,15,432
490,540,-15,15,432
475,555,-15,15,432
475,555,-15,-15,432
460,540,-15,-15,432
445,525,-15,-15,432
430,510,-15,-15,432
415,495,-15,-15,432
400,480,-15,-15,432
385,465,-15,-15,432
370,450,-15,-15,432
355,435,-15,-15,432
340,420,-15,-15,432
325,405,-15,-15,432
310,390,-15,-15,432
295,375,-15,-15,432
280,360,-15,-15,432
265,345,-15,-15,432
250,330,-15,-15,432
235,315,-15,-15,432
220,300,-15,-15,432
205,285,-15,-15,432
190,270,-15,-15,432
175,255,-15,-15,432
160,240,-15,-15,432
145,225,-15,-15,432
130,210,-15,-15,432
115,195,-15,-15,432
100,180,-15,-15,432
85,165,-15,-15,432
70,150,-15,-15,432
55,135,-15,-15,432
40,120,-15,-15,432
40,120,15,-15,432
55,105,15,-15,432
70,90,15,-15,432
85,75,15,-15,432
100,60,15,-15,432
115,45,15,-15,432
115,45,15,15,432
130,60,15,15,432
145,75,15,15,432
160,90,15,15,432
175,105,15,15,432
190,120,15,15,432
205,135,15,15,432
220,150,15,15,432
235,165,15,15,432
250,180,15,15,432
265,195,15,15,432
280,210,15,15,432
295,225,15,15,432
310,240,15,15,432
325,255,15,15,432
340,270,15,15,432
355,285,15,15,432
370,300,15,15,432
385,315,15,15,433
400,330,15,15,433
415,345,15,15,433
430,360,15,15,433
445,375,15,15,433
460,390,15,15,433
475,405,15,15,433
490,420,15,15,433
505,435,15,15,433
520,450,15,15,433
535,465,15,15,433
550,480,15,15,433
565,495,15,15,433
580,510,15,15,433
595,525,15,15,433
610,540,15,15,433
625,555,15,15,433
625,555,15,-15,432
640,540,15,-15,430
655,525,15,-15,429
670,510,15,-15,427
685,495,15,-15,425
700,480,15,-15,419
715,465,15,-15,414
730,450,15,-15,407
745,435,15,-15,394
760,420,15,-15,367
775,405,15,-15,347
790,390,15,-15,337
805,375,15,-15,329
820,360,15,-15,319
835,345,15,-15,306
850,330,15,-15,297
865,315,15,-15,280
880,300,15,-15,268
895,285,15,-15,255
910,270,15,-15,242
925,255,15,-15,229
940,240,15,-15,206
955,225,15,-15,192
970,210,15,-15,173
985,195,15,-15,165
1000,180,15,-15,156
1015,165,15,-15,148
1030,150,15,-15,138
1045,135,15,-15,127
1060,120,15,-15,112
1075,105,15,-15,104
1090,90,15,-15,97
1105,75,15,-15,94
1120,60,15,-15,92
1135,45,15,-15,88
1135,45,15,15,82
1150,60,15,15,76
1150,60,-15,15,71
1135,75,-15,15,71
1120,90,-15,15,71
1105,105,-15,15,71
1090,120,-15,15,71
1075,135,-15,15,71
1060,150,-15,15,71
1045,165,-15,15,71
1030,180,-15,15,80
1015,195,-15,15,105
1000,210,-15,15,132
985,225,-15,15,176
970,240,-15,15,194
955,255,-15,15,208
940,270,-15,15,224
925,285,-15,15,246
910,300,-15,15,258
895,315,-15,15,262
880,330,-15,15,271
865,345,-15,15,282
850,360,-15,15,288
835,375,-15,15,297
820,390,-15,15,304
805,405,-15,15,315
790,420,-15,15,327
775,435,-15,15,345
760,450,-15,15,357
745,465,-15,15,373
730,480,-15,15,382
715,495,-15,15,392
700,510,-15,15,404
685,525,-15,15,413
670,540,-15,15,421
655,555,-15,15,430
655,555,-15,-15,436
640,540,-15,-15,443
625,525,-15,-15,448
610,510,-15,-15,453
595,495,-15,-15,456
580,480,-15,-15,459
565,465,-15,-15,460
550,450,-15,-15,461
535,435,-15,-15,461
520,420,-15,-15,461
505,405,-15,-15,461
490,390,-15,-15,461
475,375,-15,-15,461
460,360,-15,-15,461
445,345,-15,-15,461
430,330,-15,-15,461
415,315,-15,-15,461
400,300,-15,-15,461
385,285,-15,-15,461
370,270,-15,-15,461
355,255,-15,-15,461
340,240,-15,-15,461
325,225,-15,-15,461
310,210,-15,-15,461
295,195,-15,-15,461
280,180,-15,-15,461
265,165,-15,-15,461
250,150,-15,-15,461
235,135,-15,-15,461
220,120,-15,-15,461
205,105,-15,-15,461
190,90,-15,-15,461
175,75,-15,-15,461
160,60,-15,-15,461
145,45,-15,-15,461
145,45,-15,15,461
130,60,-15,15,461
115,75,-15,15,461
100,90,-15,15,461
85,105,-15,15,461
70,120,-15,15,461
55,135,-15,15,461
40,150,-15,15,461
40,150,15,15,461
55,165,15,15,461
70,180,15,15,461
85,195,15,15,461
100,210,15,15,461
115,225,15,15,461
130,240,15,15,461
145,255,15,15,461
160,270,15,15,461
175,285,15,15,461
190,300,15,15,461
205,315,15,15,461
220,330,15,15,461
235,345,15,15,461
250,360,15,15,461
265,375,15,15,461
280,390,15,15,461
295,405,15,15,461
310,420,15,15,461
325,435,15,15,461
340,450,15,15,461
355,465,15,15,461
370,480,15,15,461
385,495,15,15,461
400,510,15,15,461
415,525,15,15,461
430,540,15,15,461
445,555,15,15,461
445,555,15,-15,461
460,540,15,-15,461
475,525,15,-15,461
490,510,15,-15,461
505,495,15,-15,461
520,480,15,-15,461
535,465,15,-15,460
550,450,15,-15,460
565,435,15,-15,457
580,420,15,-15,455
595,405,15,-15,455
610,390,15,-15,455
625,375,15,-15,454
640,360,15,-15,452
655,345,15,-15,448
670,330,15,-15,443
685,315,15,-15,431
700,300,15,-15,415
715,285,15,-15,397
730,270,15,-15,387
745,255,15,-15,371
760,240,15,-15,361
775,225,15,-15,352
790,210,15,-15,345
805,195,15,-15,337
820,180,15,-15,325
835,165,15,-15,318
850,150,15,-15,310
865,135,15,-15,305
880,120,15,-15,302
895,105,15,-15,299
910,90,15,-15,295
925,75,15,-15,293
940,60,15,-15,293
955,45,15,-15,293
955,45,15,15,293
970,60,15,15,293
985,75,15,15,294
1000,90,15,15,298
1015,105,15,15,301
1030,120,15,15,302
1045,135,15,15,304
1060,150,15,15,305
1075,165,15,15,305
1090,180,15,15,305
1105,195,15,15,305
1120,210,15,15,306
1135,225,15,15,307
1150,240,15,15,307
1165,255,15,15,307
